"","Flow_from_user","Flow_to_user","flow"
"585","kanimozhi","kanimozhi",0
"586","kanimozhi","kanimozhi",0
"587","kapilgurjarbjp","ianuragthakur",-1
"588","kapilgurjarbjp","SharmaKhemchand",-1
"589","KaranArora","chinmaytrivedi",0
"590","Karnikakahen","zaalimanna",1
"591","Karthick2668","oldsailor",0
"592","karthisrv","armolukDan",0
"593","kattu_ak","MaayaaSarabhai",-1
"594","kaushkrahul","nilleo007",1
"595","kaushkrahul","rohitagarwal86",1
"596","kejri420","Dhananter_singh",0
"597","kennethfalke","JavierBlas2",0
"598","khany25","newsflicks",0
"599","khilav","vdehejia",0
"600","KiranKS","dhruvbhim",1
"601","kiranmgosavi","amolsainis",0
"602","kisanpal1213","RTforINC",0
"603","KJshashi","nixxin",1
"604","kmfameen","iammastanvali",0
"605","kmfameen","jab9777",1
"606","krishanjee","r_kodali",-1
"607","krist0ph3r","vac22",0
"608","krrisshna","Shr3yanshS",0
"609","krupasp","laveenavgupta",0
"610","ksvenu247","prameshjain12",1
"611","kumar_sumit","deba2501",0
"612","kumarkm53","iYashwant",-1
"613","kunal_391","salaudd87682118",0
"614","kunthavi5","Mash_Tweetwani",0
"615","lalithkris","InternetHinduz",-1
"616","lamboomishra","wahabtariqbutt",0
"617","LangaMahesh","shanmugam_18",1
"618","larialgenviller","CiscoBlogs",0
"619","laveenavgupta","krupasp",0
"620","legalassistadv","taxmannindia",0
"621","lekhachakrabor1","nipfp_org_in",0
"622","Lexmeridian","piushtomar",0
"623","livmilind","NagasConnect",0
"624","llstartupsin","allstartupsin",1
"625","LODHA","vinit_shah1",0
"626","lodhamar","anisaz9_basit",-1
"627","lohana1983","niteshplatinum",-1
"628","lone_mubashir","sahmed0024",0
"629","Lovely_Sathish","chyprashant",0
"630","lucifer_damned","AjoyAshirwad",0
"631","luvmunkey","Luvmunkey",0
"632","Luvmunkey","luvmunkey",0
"633","MaayaaSarabhai","kattu_ak",1
"634","macrodidact","daves_folly",0
"635","madhuhalkani","madhuhalkani",0
"636","madhuhalkani","madhuhalkani",0
"637","MagChennai","bala217",0
"638","MaheshJagga","avinash_mailme",1
"639","MaheshJagga","innovativehindu",1
"640","MajorPoonia","icivilized",0
"641","maksimbelkx","HiddenGuruz",0
"642","malathik1129","spati2012",-1
"643","mallika00853159","YSRCPFriends",-1
"644","manaseit","jatharvijay",0
"645","manickamtagore","jenixrino",1
"646","manijgd","0807ankit",1
"647","maninderonline","TimesOFAssam",0
"648","maniram50","mrpatel1954",0
"649","manish847211","manish847211",0
