username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
vickz1210;2017-01-05 21:19;0;0;"#jallikattu https://www. instagram.com/p/BO42dN7hhzHR tQGPKETr7xY2cr89Iy7BZPZIUk0/ …";;;#jallikattu;"817035215918931968";https://twitter.com/vickz1210/status/817035215918931968
Sathish10256298;2017-01-05 21:17;0;0;"#jallikattu pic.twitter.com/a5EwhhvskB";;;#jallikattu;"817034904840060928";https://twitter.com/Sathish10256298/status/817034904840060928
kannanrajagopa3;2017-01-05 21:17;0;0;"#jallikattu https:// twitter.com/gvprakash/stat us/816927931393929218 …";;;#jallikattu;"817034890529173504";https://twitter.com/kannanrajagopa3/status/817034890529173504
GjjDuraiPandi;2017-01-05 21:16;0;1;"#கொம்புவச்சசிங்கம்டா #jallikattu song coming soon ... From the music director @gvprakash #KombuVachaSingamda lyrics by @Arunrajakamaraj";;@gvprakash @Arunrajakamaraj;# #jallikattu #KombuVachaSingamda;"817034644210057216";https://twitter.com/GjjDuraiPandi/status/817034644210057216
shrinidhileo;2017-01-05 21:14;0;0;"Claims, that Jallikattu is animal cruelty What of the other animals used in army and police force? https:// youtu.be/_DN0x31ZHpw #jallikattu";;;#jallikattu;"817033929052012545";https://twitter.com/shrinidhileo/status/817033929052012545
UNKHTrends;2017-01-05 21:09;0;0;"Retweeted KamalHaasan OurPride ( @UNKHOurPride ): #jallikattu ஆதரவாக விருதுநகர் மாவட்ட திரு. #KamalHaasan நற்பணி... http:// fb.me/2ScyUOAQ4";;@UNKHOurPride;#jallikattu #KamalHaasan;"817032703300304896";https://twitter.com/UNKHTrends/status/817032703300304896
AshokSelvan;2017-01-05 21:08;47;220;"So many things Im angered n wanna voice out abt! #jallikattu #bangaloremolestation #FarmersSuicide #DeMonetisationDisaster Bt whts the use!!";;;#jallikattu #bangaloremolestation #FarmersSuicide #DeMonetisationDisaster;"817032648103034880";https://twitter.com/AshokSelvan/status/817032648103034880
kumarkrish12;2017-01-05 21:07;1;2;"#tamizhan da....... #we want #jallikattu pic.twitter.com/gSDrJbG4gd";;;#tamizhan #we #jallikattu;"817032233412362240";https://twitter.com/kumarkrish12/status/817032233412362240
lijinkumar3;2017-01-05 21:02;1;0;"ஜல்லிக்கட்டுக்கு அனுமதி கோரி நடைப்பெற்ற போராட்டத்தை முடித்து வைத்த பொன். ராதாகிருஷ்ணன்! #Jallikattu #tnneedjallikatu pic.twitter.com/fMHGnFzveA";;;#Jallikattu #tnneedjallikatu;"817030979533553665";https://twitter.com/lijinkumar3/status/817030979533553665
NathanMJ2;2017-01-05 21:00;2;1;"Jallikattu is not only a game it's our tradition...save #Jallikattu @Ban_Peta_India pic.twitter.com/beEtGNqHTW";;@Ban_Peta_India;#Jallikattu;"817030577815633922";https://twitter.com/NathanMJ2/status/817030577815633922
