"","retweeters","tweeters","edge_type","weight"
"5186","prasanna_s","stupidosaur","Mention_edge",2
"5187","raggedtag","stupidosaur","Mention_edge",4
"5188","Rita_Banerji","stupidosaur","Mention_edge",1
"5189","rkam105","stupidosaur","Mention_edge",1
"5190","s_navroop","stupidosaur","Mention_edge",1
"5191","Scimitar_SS","stupidosaur","Mention_edge",2
"5192","shepherd66","stupidosaur","Mention_edge",2
"5193","sonunigam","stupidosaur","Mention_edge",2
"5194","Stupidosaur","stupidosaur","Mention_edge",1
"5195","Synd_Bank","stupidosaur","Mention_edge",2
"5196","TheReal1977","stupidosaur","Mention_edge",2
"5197","ThinkPragati","stupidosaur","Mention_edge",2
"5198","Twitter","stupidosaur","Mention_edge",1
"5199","UIDAI","stupidosaur","Mention_edge",6
"5200","Vaibhav_CFA","stupidosaur","Mention_edge",2
"5201","Vidyut","stupidosaur","Mention_edge",1
"5202","virkamu","stupidosaur","Mention_edge",1
"5203","WG_Burton","stupidosaur","Mention_edge",1
"5204","wikileaks","stupidosaur","Mention_edge",1
"5205","willyindia","stupidosaur","Mention_edge",4
"5206","DasBolshevik","su_nils","Mention_edge",1
"5207","narendramodi","su_nils","Mention_edge",1
"5208","SitaramYechury","su_nils","Mention_edge",2
"5209","evanspiegel","subeetkumar","Mention_edge",1
"5210","ArvindKejriwal
htt…","subh851","Mention_edge",1
"5211","BJP4India","subh851","Mention_edge",1
"5212","BJPLive","subh851","Mention_edge",1
"5213","na…","subh851","Mention_edge",1
"5214","narendramodi","subh851","Mention_edge",1
"5215","Ashut…","subhank25219819","Mention_edge",1
"5216","evanspiegel","subhapa","Mention_edge",1
"5217","BJP4India","subichaturvedi","Mention_edge",1
"5218","BJPLive","subichaturvedi","Mention_edge",1
"5219","narendramodi","subichaturvedi","Mention_edge",1
"5220","minimathur","subodhsastri","Mention_edge",1
"5221","narendramodi","subsharma007","Mention_edge",1
"5222","Memeghnad","suchetadalal","Mention_edge",1
"5223","digvijaya_28","sudar2k","Mention_edge",1
"5224","madmanweb","sudar2k","Mention_edge",1
"5225","YouTube","sudheer_jass","Mention_edge",1
"5226","ArvindKejriwal","sudhirputhran","Mention_edge",2
"5227","ippatel","sudhirputhran","Mention_edge",1
"5228","narendramodi","sudhirputhran","Mention_edge",1
"5229","narendramodi
The","sudhirputhran","Mention_edge",1
"5230","TajinderBagga","sudhirputhran","Mention_edge",1
"5231","ncbn","sudhirreddy920","Mention_edge",1
"5232","evanspiegel","sudhks","Mention_edge",1
"5233","narendramodi","sudlimbu","Mention_edge",1
"5234","narendramodi","sudsmobile","Mention_edge",1
"5235","MamataOfficial","suhaagjk","Mention_edge",1
"5236","office0ffRG","suhaagjk","Mention_edge",1
"5237","SitaramYechury","suhaagjk","Mention_edge",1
"5238","evanspiegel","suhailkhan2004","Mention_edge",1
"5239","narendramodi","suhana41","Mention_edge",3
"5240","NewIndianXpress","suhana41","Mention_edge",1
"5241","PMOIndia","suhana41","Mention_edge",1
"5242","evanspiegel","suhani2711","Mention_edge",1
"5243","WorldBank","sujaykkumaar","Mention_edge",1
"5244","narendramodi","sujitchandran","Mention_edge",1
"5245","arunjaitley","sujitkumar5555","Mention_edge",1
"5246","narendramodi","sujitkumar5555","Mention_edge",1
"5247","","sujoykabiraj","Mention_edge",1
"5248","arunjaitley","sujoykabiraj","Mention_edge",1
"5249","anandkamal","sukhiim","Mention_edge",1
"5250","narendramodi","sukhiim","Mention_edge",1
"5251","narendramodi","sumanchhina","Mention_edge",1
"5252","narendramodi","sumitbhati2002","Mention_edge",2
"5253","","sumitbisht027","Mention_edge",1
"5254","arunjaitley","sumitbisht027","Mention_edge",1
"5255","ShivAroor","sumitkashyapjha","Mention_edge",1
"5256","narendramodi","sumitsahu_ss","Mention_edge",1
"5257","NewIndianXpress","sumitsharma_91","Mention_edge",1
"5258","evanspiegel","sumitsi396","Mention_edge",1
"5259","d_seaman","summerbreeze712","Mention_edge",1
"5260","YouTube","summerbreeze712","Mention_edge",1
"5261","puram_politics","summermerin","Mention_edge",1
"5262","sanjayuvacha","summermerin","Mention_edge",1
"5263","evanspiegel","sumodkuhar","Mention_edge",1
"5264","d_seaman","suneconomy","Mention_edge",1
"5265","YouTube","suneconomy","Mention_edge",1
"5266","evanspiegel","sunil007rock","Mention_edge",1
"5267","avi41968490","sunil131415","Mention_edge",1
"5268","sonunigam","sunil131415","Mention_edge",1
"5269","narendramodi","sunilchandora","Mention_edge",1
"5270","narendramodi","sunildave1","Mention_edge",1
"5271","invi…","sunilds4444","Mention_edge",1
"5272","RajeevSrinivasa.","suniljakkaraju","Mention_edge",1
"5273","alok_awaaz","sunilsharma_knp","Mention_edge",1
"5274","anilsinghviCNBC","sunilsharma_knp","Mention_edge",1
"5275","AshVerma111","sunilsharma_knp","Mention_edge",1
"5276","hemant_ghai","sunilsharma_knp","Mention_edge",1
"5277","pandyapradeep","sunilsharma_knp","Mention_edge",1
"5278","priyankasambhav…","sunilsharma_knp","Mention_edge",1
"5279","samarbhandral","sunilsharma_knp","Mention_edge",1
"5280","narendramodi","sunindi83","Mention_edge",1
"5281","evanspiegel","sunitaa09","Mention_edge",1
