,retweeters,tweeters,edge_type,weight
9169,dna,syedwajid09,Tweet_edge,1
9170,ATEKAssetScan,sylviajanotta,Tweet_edge,1
9171,thesuniljain,synergyspeak,Tweet_edge,1
9172,rahulroushan,t_anupam,Tweet_edge,1
9173,ShashiTharoor,t_buffff,Tweet_edge,1
9174,hi_paresh,t_d_h_nair,Tweet_edge,1
9175,pGurus1,t_s_mohan,Tweet_edge,1
9176,DrKumarVishwas,t_sashidhar,Tweet_edge,1
9177,MinIT_Telangana,t_sashidhar,Tweet_edge,1
9178,URautelaForever,ta_vishal,Tweet_edge,1
9179,HP_Journo,tabassumzia,Tweet_edge,1
9180,rahulroushan,tabrezahmad,Tweet_edge,1
9181,gauravcsawant,tagarwalla,Tweet_edge,1
9182,Dipankar_cpiml,tahermdsaheb,Tweet_edge,1
9183,jameelyusuf,tahermdsaheb,Tweet_edge,1
9184,SecretaryMEITY,tahers786,Tweet_edge,1
9185,ModiBharosa,tajinde79265331,Tweet_edge,1
9186,ModiBharosa,tajinderbagga,Tweet_edge,2
9187,DrGPradhan,talatipulin,Tweet_edge,1
9188,attomeybharti,talk2vin0d,Tweet_edge,1
9189,gauravcsawant,talktovardhan,Tweet_edge,1
9190,jackerhack,tame_wildcard,Tweet_edge,1
9191,MarkDice,tammiejwilliams,Tweet_edge,1
9192,5Forty3,tandon_abhinav,Tweet_edge,1
9193,ModiBharosa,tanejanavin,Tweet_edge,1
9194,1Patelzuber,tanim0104,Tweet_edge,1
9195,gauravcsawant,tankkumaama,Tweet_edge,1
9196,ShirishKunder,tanmya786t,Tweet_edge,1
9197,DrKumarVishwas,tanu_bhardwaj89,Tweet_edge,1
9198,attomeybharti,tanuaditya,Tweet_edge,1
9199,URautelaForever,tanushreerajpo1,Tweet_edge,1
9200,gops333,tanveer1729,Tweet_edge,1
9201,iamsmithaa,tanveer1729,Tweet_edge,1
9202,kanikacart,tanveer1729,Tweet_edge,1
9203,rssurjewala,tanveer1729,Tweet_edge,1
9204,URautelaForever,tanveerrkhan,Tweet_edge,1
9205,steve_hanke,tanvir_ansari,Tweet_edge,1
9206,Joydas,tanvira42152280,Tweet_edge,1
9207,RoflGandhi_,tanwarnavneet,Tweet_edge,1
9208,rahulroushan,tapanpokar,Tweet_edge,1
9209,NG_withINC,tapanvyasind,Tweet_edge,1
9210,URautelaForever,tapsichadha,Tweet_edge,1
9211,mkatju,tara_views,Tweet_edge,1
9212,ModiBharosa,tarakdhinga,Tweet_edge,1
9213,TheDarjChron,tarakdhinga,Tweet_edge,1
9214,harshkkapoor,taraspalmaan,Tweet_edge,1
